source,geneTarget,signatureName,PMID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,STK3,140.138.144.141/~RegPhos/download/RegPhos,20086174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,STK3,140.138.144.141/~RegPhos/download/RegPhos,19369195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,STK4,140.138.144.141/~RegPhos/download/RegPhos,19940129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,STK4,140.138.144.141/~RegPhos/download/RegPhos,17726016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,TBCD4,140.138.144.141/~RegPhos/download/RegPhos,11994271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,TBCD4,140.138.144.141/~RegPhos/download/RegPhos,12637568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,TRMB,140.138.144.141/~RegPhos/download/RegPhos,15861136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,TSC2,140.138.144.141/~RegPhos/download/RegPhos,12150915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,TSC2,140.138.144.141/~RegPhos/download/RegPhos,12150915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,TTC3,140.138.144.141/~RegPhos/download/RegPhos,20059950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,XIAP,140.138.144.141/~RegPhos/download/RegPhos,14645242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,YBOX1,140.138.144.141/~RegPhos/download/RegPhos,15806160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT2,ACLY,140.138.144.141/~RegPhos/download/RegPhos,15302935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT2,AKTS1,140.138.144.141/~RegPhos/download/RegPhos,12524439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT2,CREB1,140.138.144.141/~RegPhos/download/RegPhos,7608156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT2,ESR1,140.138.144.141/~RegPhos/download/RegPhos,16741565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT2,EZRI,140.138.144.141/~RegPhos/download/RegPhos,14504278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT2,FOXO1,140.138.144.141/~RegPhos/download/RegPhos,10358075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT2,FYV1,140.138.144.141/~RegPhos/download/RegPhos,18669648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT2,IKKA,140.138.144.141/~RegPhos/download/RegPhos,10485710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT2,M3K5,140.138.144.141/~RegPhos/download/RegPhos,14500571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT2,XIAP,140.138.144.141/~RegPhos/download/RegPhos,14645242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,ALK,140.138.144.141/~RegPhos/download/RegPhos,18083107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,ALK,140.138.144.141/~RegPhos/download/RegPhos,18083107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,NIPA,140.138.144.141/~RegPhos/download/RegPhos,12748172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,NIPA,140.138.144.141/~RegPhos/download/RegPhos,12748172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
